id_amat;nome;linee;LONG_X_4326;LAT_Y_4326;Location
912;ROVERETO;1;9.21950580787399;45.4955331010262;"(45.4955331010262, 9.21950580787399)"
913;ROMOLO;2;9.16767680788804;45.4437333010346;"(45.4437333010346, 9.16767680788804)"
914;ROGOREDO FS;3;9.23808910785825;45.4335862010304;"(45.4335862010304, 9.23808910785825)"
915;RHO FIERAMILANO;1;9.08710730793072;45.5198398010336;"(45.5198398010336, 9.08710730793072)"
916;REPUBBLICA;3;9.19885640788027;45.4800896010291;"(45.4800896010291, 9.19885640788027)"
917;QT8;1;9.13718230790598;45.485958101033;"(45.485958101033, 9.13718230790598)"
918;P.TA VENEZIA;1;9.20504640787702;45.4744187010291;"(45.4744187010291, 9.20504640787702)"
919;P.TA GENOVA F.S.;2;9.16960610788841;45.4523782010337;"(45.4523782010337, 9.16960610788841)"
920;PRIMATICCIO;1;9.12925970790564;45.459413601036;"(45.459413601036, 9.12925970790564)"
921;PRECOTTO;1;9.22449910787417;45.5120295010243;"(45.5120295010243, 9.22449910787417)"
922;PORTO DI MARE;3;9.23031110786186;45.4371279010307;"(45.4371279010307, 9.23031110786186)"
923;PORTELLO;5;9.15149944089912;45.4807995479255;"(45.4807995479255, 9.15149944089912)"
924;PORTA ROMANA;3;9.20340020787463;45.4514341010313;"(45.4514341010313, 9.20340020787463)"
925;PONALE;5;9.20947360788156;45.5219945010245;"(45.5219945010245, 9.20947360788156)"
926;PIOLA;2;9.22591680786948;45.481145001027;"(45.481145001027, 9.22591680786948)"
927;PERO;1;9.08580670792978;45.5087997010347;"(45.5087997010347, 9.08580670792978)"
928;PASTEUR;1;9.21818010787393;45.4910692010267;"(45.4910692010267, 9.21818010787393)"
929;PALESTRO;1;9.20194900787787;45.4714250010296;"(45.4714250010296, 9.20194900787787)"
930;PAGANO;1;9.16109520789396;45.4682808010329;"(45.4682808010329, 9.16109520789396)"
931;MOSCOVA;2;9.18447570788573;45.4774395010303;"(45.4774395010303, 9.18447570788573)"
932;MONUMENTALE;5;9.17979312440481;45.4848147763397;"(45.4848147763397, 9.17979312440481)"
933;MONTENAPOLEONE;3;9.19284790788136;45.4700055010304;"(45.4700055010304, 9.19284790788136)"
934;MOLINO DORINO;1;9.0929661079264;45.5052116010345;"(45.5052116010345, 9.0929661079264)"
935;MISSORI;3;9.18902710788159;45.4601086010316;"(45.4601086010316, 9.18902710788159)"
936;MARCHE;5;9.19482360788404;45.4961456010279;"(45.4961456010279, 9.19482360788404)"
937;MACIACHINI;3;9.1850425078882;45.4977017010284;"(45.4977017010284, 9.1850425078882)"
938;LOTTO M5;5;9.14366872151745;45.4797818727906;"(45.4797818727906, 9.14366872151745)"
939;LOTTO FIERAMILANOCITY;1;9.14374880790241;45.4791454010331;"(45.4791454010331, 9.14374880790241)"
940;LORETO M2;2;9.21516600787429;45.4845943010275;"(45.4845943010275, 9.21516600787429)"
941;LORETO M1;1;9.2169815783692;45.4862401109857;"(45.4862401109857, 9.2169815783692)"
942;LODI T.I.B.B.;3;9.21081640787101;45.4467636010312;"(45.4467636010312, 9.21081640787101)"
943;LIMA;1;9.21098270787541;45.4803459010282;"(45.4803459010282, 9.21098270787541)"
944;LANZA;2;9.18254810788582;45.4722295010309;"(45.4722295010309, 9.18254810788582)"
945;LAMPUGNANO;1;9.12731920791042;45.4894017010334;"(45.4894017010334, 9.12731920791042)"
946;LAMBRATE FS;2;9.23482980786629;45.4842475010261;"(45.4842475010261, 9.23482980786629)"
947;ISTRIA;5;9.19792000788352;45.5016262010272;"(45.5016262010272, 9.19792000788352)"
948;ISOLA;5;9.19126340788434;45.4876083010289;"(45.4876083010289, 9.19126340788434)"
949;INGANNI;1;9.12226290790823;45.4575630010367;"(45.4575630010367, 9.12226290790823)"
951;GORLA;1;9.22273880787417;45.5067343010249;"(45.5067343010249, 9.22273880787417)"
952;GORGONZOLA;2;9.40345410780515;45.5367410010093;"(45.5367410010093, 9.40345410780515)"
953;GIOIA;2;9.19485740788253;45.4848999010289;"(45.4848999010289, 9.19485740788253)"
